MVH,Suresnes Mont Valérien,48.871721,2.221157,
MVP,Massy Verrières,48.734722,2.273191,
MVW,Massy Verrières,48.734755,2.273333,
MW,Monnerville,48.347843,2.031521,
MWI,Menerville,48.966431,1.600963,
MWO,Méry sur Oise,49.057564,2.190477,
MXK,Mouroux,48.814072,3.042373,
MY,Mitry Claye,48.975697,2.642692,
MYD,Montry Condé,48.890799,2.826380,
NAA,Nogent l'Artaud Charly,48.968769,3.322933,
NAF,Nanterre Préfecture,48.895649,2.221274,
NAN,Nangis,48.561378,3.012533,
NAU,Nanteuil Saâcy,48.973866,3.220004,
NC1,Saint-Germain en Laye,48.898304,2.095274,
NC2,Le Vésinet Le Pecq,48.897675,2.121628,
NC3,Nanterre Ville,48.895157,2.195118,
NC4,Le Vésinet Centre,48.890072,2.134520,
NC5,Chatou Croissy,48.885330,2.155269,
NC6,Rueil Malmaison,48.887192,2.172376,
NG,La Norville Saint-Germain lès A.,48.591694,2.267456,
NGM,Nogent sur Marne,48.835392,2.472207,
NH,Nanteuil le Haudouin,49.142170,2.793852,
NIO,Noisy le Roi,48.841370,2.061566,
NLP,Nogent Le Perreux,48.838411,2.494294,
NO,Nointel Mours,49.132629,2.280812,
NPT,Neuilly Porte Maillot,48.878484,2.285339,
NSL,Noisiel,48.843952,2.615691,
NSP,Nemours Saint-Pierre,48.267899,2.685778,
NSY,Noisy le Sec,48.896212,2.458924,
NTN,Nation,48.848480,2.396541,
NUE,Neuville Université,49.014441,2.078121,
NUN,Nanterre Université,48.901450,2.214330,
NYC,Noisy Champs,48.843132,2.581465,
NYG,Noisy le Grand Mont d'Est,48.841534,2.548822,
NYP,Neuilly Plaisance,48.853268,2.513603,
NZL,Nezel Aulnay,48.938839,1.840746,
OBP,Orangis Bois de l'Epine,48.636345,2.407545,
OGB,Orgerus Béhoust,48.826723,1.702611,
ORM,Ormoy Villers,49.200893,2.838112,
ORS,Orsay Ville,48.697613,2.183295,
ORY,Orry la Ville Coye la Forêt,49.138714,2.489594,
OSN,Osny,49.062927,2.057475,
OY,Orly Ville,48.741749,2.402733,
OZF,Ozoir la Ferrière,48.770706,2.689778,
PAA,Paris Gare de Lyon,48.844486,2.373180,
PAN,Pantin,48.897644,2.400151,
PAW,Palaiseau Villebon,48.707024,2.237302,
PAX,Palaiseau,48.717426,2.247195,
PAZ,Paris Austerlitz,48.841864,2.366034,
PBY,Paris Bercy,48.838646,2.381794,
PCX,Parc de Sceaux,48.770908,2.310046,
PDM,Pont de l'Alma,48.862608,2.301175,
PE,Paris Est,48.876686,2.359247,
PEB,Persan Beaumont,49.148228,2.279845,
PEX,Parc des Expositions,48.973850,2.513837,
PG,Plaisir Grignon,48.693714,1.856859,
PIE,Plaisir les Clayes,48.830639,1.960006,
PJ,Petit Jouy Les Loges,48.770817,2.146791,
PKY,Porte de Clichy,48.894388,2.313983,
PLB,Le Plessis Belleville,49.096127,2.744677,
PLY,Paris Gare de Lyon,48.844629,2.374265,
PMP,Paris Montparnasse,48.840931,2.320264,
PNB,Paris Nord,48.879814,2.355766,
PNO,Paris Nord,48.879917,2.356664,
POA,Porchefontaine,48.796917,2.153967,
POP,Ponthierry Pringy,48.534954,2.544794,
PPD,Créteil Pompadour,48.771706,2.435188,
PPT,Pont Petit,49.060215,2.130210,
PRF,Pierrefitte Stains,48.964001,2.371936,
PRO,Provins,48.555748,3.302817,
PRQ,Presles Courcelles,49.113457,2.287554,
PRR,Péreire Levallois,48.885859,2.299284,
PRU,Pont de Rungis Aéroport d'Orly,48.748108,2.372800,
PRY,Pierrelaye,49.019539,2.153691,
PSE,Pontoise,49.047123,2.095428,
PSL,Paris Saint-Lazare,48.876920,2.325458,
PSY,Poissy,48.933643,2.041142,
PTC,Pont Cardinet,48.887611,2.314214,
PTX,Puteaux,48.883626,2.233605,
PV,Petit Vaux,48.675940,2.334000,
PVA,Paris Vaugirard,48.838821,2.315974,
PWR,Port Royal,48.839931,2.336701,
PWZ,Port-Villez,49.061581,1.524275,
PXO,Le Parc de Saint-Maur,48.804581,2.485844,
PYO,Précy sur Oise,49.203236,2.376361,
PZB,Paris Austerlitz,48.843422,2.365044,
RBI,Rosny Bois Perrier,48.882587,2.481261,
RBT,Rambouillet,48.643822,1.831794,
RF,Rungis La Fraternelle,48.740570,2.353108,
RIS,Ris Orangis,48.659269,2.414452,
RNS,Robinson,48.779358,2.280149,
ROB,Roissy en Brie,48.795650,2.649514,
RSB,Rosny sous Bois,48.870762,2.485911,
RSS,Rosny sur Seine,48.997299,1.630194,
RSY,Aéroport Ch. de Gaulle 1,49.009502,2.560971,
RVM,Le Raincy Villemomble Montfermeil,48.889230,2.512185,
RYR,Aéroport Ch. de Gaulle 2 TGV,49.003681,2.571148,
SAO,Savigny sur Orge,48.675866,2.351892,
SCD,Saint-Cloud,48.845243,2.217012,
SCR,Saint-Cyr,48.798971,2.073138,
SCW,Saint-Chéron,48.551090,2.125493,
SDE,Saint-Denis,48.934980,2.345734,
SEV,Sevran Livry,48.936043,2.534937,
SF,Saint-Mammès,48.382574,2.815717,
SFD,Stade de France Saint-Denis,48.917904,2.351275,
SGM,Saint Germain en Laye GC,48.903080,2.072889,
SGT,Saint-Gratien,48.963440,2.285371,
SHL,Saint-Michel Notre Dame,48.853162,2.344563,
SHO,Saint-Michel sur Orge,48.635667,2.306683,
SKX,Sceaux,48.781349,2.297399,
SLF,Saint-Leu la Forêt,49.015717,2.242658,
SLL,Sarcelles Saint-Brice,48.995551,2.368479,
SLT,Saint-Leu d'Esserent,49.214165,2.418158,
SME,Saint-Martin d'Etampes,48.427601,2.145283,
SNB,Saint-Nom la Bretèche F. de Marly,48.867786,2.051121,
SNM,Saint-Rémy lès Chevreuse,48.702976,2.070047,
SNN,Sannois,48.970139,2.263744,
SOA,Saint-Ouen l'Aumône,49.040016,2.103937,
SOS,Saint-Ouen,48.904537,2.323254,
SPP,Souppes Château Landon,48.181923,2.735053,
SQY,Saint-Quentin en Y. Montigny le B.,48.787048,2.044907,
SUR,Survilliers Fosses,49.099533,2.525208,
SVL,Sartrouville,48.937595,2.158158,
SVR,Sèvres Rive gauche,48.821276,2.215216,
SWY,Seugy,49.119022,2.397924,
SXE,Sermaise,48.535484,2.069017,
SXG,Sainte-Geneviève des Bois,48.653344,2.313594,
TAE,Tacoignières Richebourg,48.829651,1.668991,
TLP,Trilport,48.960171,2.949375,
TMR,Thomery,48.394217,2.764229,
TNT,Thieux Nantouillet,49.008656,2.680882,
TOC,Torcy,48.839310,2.655755,
TOU,Tournan,48.739292,2.759494,
TPA,Thun le Paradis,49.006739,1.919255,
TRH,Trie Château,49.282539,1.818120,
TSS,Triel sur Seine,48.981043,2.005705,
TVO,Trappes,48.774868,2.006439,
TVY,Taverny,49.025360,2.221884,
US,Us,49.099766,1.970753,
VAI,Vaires Torcy,48.875182,2.639586,
VBB,Villiers Montbarbin,48.863148,2.883055,
VBO,Vauboyen,48.759155,2.191989,
VBV,Villabé,48.592560,2.461550,
VC,Versailles Chantiers,48.795219,2.136847,
VCN,Vaucresson,48.836876,2.152279,
VCX,Vaucelles,49.021187,2.230986,
VD,Le Vert de Maisons,48.788638,2.432255,
VDA,Val d'Argenteuil,48.950645,2.231339,
VDE,Val d'Europe,48.855179,2.773946,
VDF,Val de Fontenay,48.853676,2.487989,
VDO,Le Val d'Or,48.856688,2.216340,
VDV,Sèvres Ville d'Avray,48.827227,2.200747,
VEH,Villiers Neauphle Pontchartrain,48.815376,1.877176,
VEP,Villepreux les Clayes,48.823948,1.992826,
